Слово,Частота встреч в раз,Частота встреч в %
265,13,0.0
назывался,2,0.0
проспект,1,0.0
кучерá,1,0.0
провезли,2,0.0
возки,1,0.0
сани,20,0.0
флигелю,3,0.0
засыпанной,1,0.0
отведены,2,0.0
сняв,10,0.0
камзол,3,0.0
подпершись,1,0.0
непрерывное,1,0.0
увеселение,1,0.0
обязался,1,0.0
поездку,6,0.0
злому,2,0.0
уродливой,1,0.0
наследнице,2,0.0
предположению,4,0.0
мешает,9,0.0
тщательностью,1,0.0
щегольством,2,0.0
сделавшимися,2,0.0
привычкою,1,0.0
прирожденным,1,0.0
добродушно,16,0.0
хлопотали,2,0.0
камердинера,7,0.0
одевая,1,0.0
входившему,2,0.0
уродлива,3,0.0
веденный,1,0.0
старайся,1,0.0
почтителен,1,0.0
благоразумен,1,0.0
браниться,1,0.0
уйду,4,0.0
стариков,14,0.0
девичьей,5,0.0
известен,10,0.0
внешний,2,0.0
пыталась,5,0.0
внутреннее,3,0.0
выйду,5,0.0
приводила,2,0.0
маши,1,0.0
266,13,0.0
чернобровый,1,0.0
министерский,1,0.0
проволок,1,0.0
ступеньки,5,0.0
пробежал,15,0.0
слышные,1,0.0
переговаривавшими,1,0.0
голосами,4,0.0
arrivés,1,0.0
опускаясь,1,0.0
блузе,3,0.0
поутру,9,0.0
убрана,2,0.0
скрывавшее,1,0.0
опустившихся,1,0.0
помертвевших,1,0.0
очертаний,2,0.0
наряде,2,0.0
обществах,7,0.0
заметнее,2,0.0
подурнела,2,0.0
усовершенствование,1,0.0
наряда,1,0.0
придавало,2,0.0
хорошенькому,1,0.0
свеженькому,1,0.0
привлекательности,2,0.0
restez,1,0.0
venir,4,0.0
annoncer,1,0.0
faudra,3,0.0
descendre,4,0.0
brin,1,0.0
toilette,1,0.0
горничную,4,0.0
придумывать,2,0.0
наряд,3,0.0
оскорбленною,2,0.0
обещанного,1,0.0
жениха,11,0.0
оскорблена,3,0.0
выдать,5,0.0
наряжания,1,0.0
предлагали,14,0.0
повело,1,0.0
продолжительным,2,0.0
шуткам,1,0.0
настаиваниям,1,0.0
вспыхнула,6,0.0
потухли,1,0.0
жертвы,8,0.0
останавливавшемся,1,0.0
отдалась,6,0.0
заботились,3,0.0
остаетесь,3,0.0
принарядились,1,0.0
267,8,0.0
соперничестве,1,0.0
убеждением,6,0.0
принялись,5,0.0
одеванье,1,0.0
боком,7,0.0
масакà,2,0.0
решается,2,0.0
приложить,3,0.0
голубую,1,0.0
ленту,4,0.0
волосам,4,0.0
зачесанным,1,0.0
спустить,1,0.0
голубой,1,0.0
коричневого,1,0.0
видоизменяли,1,0.0
украшение,1,0.0
некрасиво,2,0.0
перемен,3,0.0
подчинялась,1,0.0
зачесана,1,0.0
прическа,3,0.0
изменявшая,1,0.0
портившая,1,0.0
шарфе,4,0.0
нарядном,1,0.0
подернула,1,0.0
всплеснув,1,0.0
décidement,1,0.0
robe,4,0.0
grise,1,0.0
jours,8,0.0
катя,3,0.0
устрою,1,0.0
предвкушения,1,0.0
артистической,1,0.0
требуемое,2,0.0
увидала,35,0.01
дрожит,4,0.0
приготовляясь,4,0.0
рыданиям,2,0.0
сереньком,1,0.0
ежедневном,1,0.0
268,8,0.0
effort,1,0.0
сделаем,6,0.0
кати,1,0.0
звучал,6,0.0
страданием,3,0.0
полные,4,0.0
умоляюще,3,0.0
смотревшие,5,0.0
настаивать,1,0.0
бесполезно,7,0.0
changez,2,0.0
coiffure,2,0.0
disais,3,0.0
figures,1,0.0
genre,5,0.0
parfaitement,1,0.0
égal,2,0.0
удерживающий,1,0.0
внушало,2,0.0
внушала,1,0.0
появлялось,1,0.0
молчалива,4,0.0
непоколебима,1,0.0
решениях,1,0.0
changerez,1,0.0
исполнила,1,0.0
переменила,3,0.0
прически,6,0.0
бессильно,8,0.0
род,14,0.0
нейдет,1,0.0
269,16,0.0
сильное,14,0.0
преобладающее,2,0.0
переносящее,1,0.0
кормилицы,1,0.0
выйдут,3,0.0
очнулась,2,0.0
образную,2,0.0
устремив,8,0.0
освещенный,5,0.0
лампадой,1,0.0
лик,2,0.0
простояла,2,0.0
сложенными,2,0.0
мучительное,4,0.0
сомненье,1,0.0
земной,6,0.0
мужчине,4,0.0
помышлениях,1,0.0
мечталось,1,0.0
семейное,4,0.0
сильнейшею,1,0.0
затаенною,1,0.0
мечтой,1,0.0
земная,1,0.0
старалась,22,0.0
дьявола,4,0.0
злых,2,0.0
помыслов,1,0.0
собственном,1,0.0
желай,1,0.0
волнуйся,1,0.0
завидуй,1,0.0
будущее,16,0.0
неизвестна,3,0.0
живи,2,0.0
обязанностях,4,0.0
брака,11,0.0
готова,24,0.0
успокоительною,2,0.0
мыслью,12,0.0
надеждой,5,0.0
запрещенной,1,0.0
мечты,3,0.0
сошла,2,0.0
прическе,4,0.0
войдет,4,0.0
значить,2,0.0
предопределением,1,0.0
падет,1,0.0
человеческой,10,0.0
взошла,4,0.0
тяжелою,4,0.0
270,19,0.0
пятки,1,0.0
приподнялись,2,0.0
мужчинам,3,0.0
остановившееся,1,0.0
улыбнувшееся,1,0.0
читавшей,1,0.0
устремленным,1,0.0
подвинувшееся,1,0.0
наклонившуюся,1,0.0
помнит,8,0.0
почувствовала,31,0.01
нежную,5,0.0
взявшую,3,0.0
белого,3,0.0
припомажены,1,0.0
русые,2,0.0
красота,1,0.0
палец,11,0.0
застегнутую,1,0.0
выгнутою,1,0.0
грудью,16,0.0
отставленною,1,0.0
находчив,1,0.0
быстр,1,0.0
красноречив,3,0.0
разговорах,7,0.0
драгоценная,1,0.0
способность,9,0.0
спокойствия,18,0.0
изменяемой,2,0.0
замолчи,6,0.0
знакомстве,1,0.0
несамоуверенный,1,0.0
выкажи,1,0.0
неприличности,2,0.0
наблюдая,6,0.0
разговаривайте,1,0.0
внушает,5,0.0
любопытство,16,0.0
презрительного,1,0.0
сознания,22,0.0
возиться,2,0.0
рады,13,0.0
встречаясь,8,0.0
271,7,0.0
смеет,2,0.0
голоску,1,0.0
поднимавшейся,1,0.0
встретила,12,0.0
шуточки,4,0.0
употребляется,1,0.0
болтливо,1,0.0
установившиеся,2,0.0
отчасти,8,0.0
известные,13,0.0
забавные,2,0.0
поддался,1,0.0
вовлекла,1,0.0
смешных,3,0.0
происшествий,1,0.0
разделяла,2,0.0
втянутою,1,0.0
воспользуемся,1,0.0
убежите,1,0.0
политику,3,0.0
подмигнув,10,0.0
проказы,1,0.0
убежать,2,0.0
иссыхал,1,0.0
милой,7,0.0
mettait,1,0.0
аннет,1,0.0
выгоняла,2,0.0
272,8,0.0
perle,1,0.0
упустила,1,0.0
позволила,6,0.0
француженке,3,0.0
отечество,10,0.0
нескучно,1,0.0
недурна,3,0.0
demoiselle,2,0.0
возьмет,14,0.0
gentille,1,0.0
одевался,3,0.0
хмурясь,8,0.0
обдумывая,8,0.0
сердил,1,0.0
сынок,2,0.0
хвастунишка,1,0.0
пустой,10,0.0
ворчал,3,0.0
сердило,3,0.0
поднимал,5,0.0
нерешенный,2,0.0
заглушаемый,1,0.0
обманывал,1,0.0
решался,4,0.0
задавать,2,0.0
справедливость,20,0.0
противоречила,1,0.0
чувству,15,0.0
дорожил,5,0.0
немыслима,3,0.0
несчастною,2,0.0
судьбой,1,0.0
неловка,2,0.0
живут,11,0.0
девках,1,0.0
одеваясь,3,0.0
откладываемый,1,0.0
немедленного,1,0.0
потребует,1,0.0
приличное,1,0.0
перл,1,0.0
компаньонка,3,0.0
273,20,0.0
бодрыми,1,0.0
окинул,2,0.0
ленточку,2,0.0
уродливую,1,0.0
одиночество,1,0.0
здравствуй,7,0.0
дружка,1,0.0
околица,1,0.0
самоуверенно,3,0.0
фамильярно,1,0.0
жаловать,1,0.0
произойдет,4,0.0
обещанное,1,0.0
чудацкое,1,0.0
расспрашивать,9,0.0
новостях,5,0.0
вниманием,10,0.0
потсдама,1,0.0
пишут,11,0.0
гостях,4,0.0
причесана,2,0.0
переодеваться,1,0.0
спроса,1,0.0
заступилась,1,0.0
расшаркиваясь,2,0.0
невесткой,3,0.0
уродовать,1,0.0
274,13,0.0
доведенную,1,0.0
потеха,1,0.0
воспитывались,1,0.0
твоим,7,0.0
дьячок,11,0.0
грамоте,4,0.0
учил,1,0.0
служите,6,0.0
послужить,2,0.0
молодцу,2,0.0
числюсь,3,0.0
воспитывал,1,0.0
тамошнее,1,0.0
желании,6,0.0
надеждах,4,0.0
вообразят,1,0.0
зятя,2,0.0
правила,9,0.0
275,14,0.0
открыто,8,0.0
поживет,2,0.0
посмотрю,6,0.0
выходит,17,0.0
прощаньи,1,0.0
хитрого,4,0.0
убедившегося,1,0.0
ненужности,2,0.0
хитрить,1,0.0
проницательностью,1,0.0
гений,15,0.0
одиноких,2,0.0
проживших,1,0.0
мыслить,2,0.0
удесятерилась,1,0.0
осветилась,1,0.0
помнила,15,0.0
открытое,5,0.0
поглощало,3,0.0
решителен,5,0.0
мужествен,1,0.0
убеждена,3,0.0
мечтаний,4,0.0
будущей,15,0.0
семейной,1,0.0
возникали,1,0.0
отгоняла,2,0.0
холодна,1,0.0
стараюсь,5,0.0
сдерживать,4,0.0
близкою,2,0.0
вообразить,7,0.0
неприятен,5,0.0
любезною,2,0.0
гостем,4,0.0
diablement,1,0.0
laide,1,0.0
взведенная,1,0.0
возбуждения,6,0.0
родины,5,0.0
посвятить,3,0.0
бедняга,2,0.0
чертовски,2,0.0
276,21,0.0
услугам,8,0.0
чтению,3,0.0
книг,9,0.0
сразу,20,0.0
сумеет,2,0.0
дурными,3,0.0
одетыми,1,0.0
княжнами,2,0.0
влюбится,1,0.0
увезет,3,0.0
слышанная,1,0.0
тетки,4,0.0
доконченная,1,0.0
самою,10,0.0
соблазненной,1,0.0
упрекала,7,0.0
трогалась,2,0.0
соблазнителю,1,0.0
явится,2,0.0
складывалась,1,0.0
расчеты,3,0.0
обдумывала,3,0.0
сгруппировалось,1,0.0
появившегося,2,0.0
нравиться,5,0.0
полковая,2,0.0
трубы,8,0.0
бессознательно,14,0.0
привычному,2,0.0
галопу,1,0.0
всякой,23,0.0
легкомысленным,1,0.0
весельем,4,0.0
женском,5,0.0
надоела,1,0.0
беготня,4,0.0
тщеславное,2,0.0
испытывать,6,0.0
вызывающей,1,0.0
воurienne,1,0.0
страстное,5,0.0
находило,3,0.0
побуждало,1,0.0
поступкам,1,0.0
чая,5,0.0
поиграть,1,0.0
мучительным,1,0.0
волнением,4,0.0
любимая,5,0.0
277,13,0.0
соната,1,0.0
переносила,4,0.0
задушевно,1,0.0
поэтический,1,0.0
чувствуемый,1,0.0
придавал,6,0.0
миру,18,0.0
поэтичность,1,0.0
устремлен,3,0.0
трогал,2,0.0
фортепиано,2,0.0
смея,5,0.0
устремленный,6,0.0
ввечеру,7,0.0
приблизившееся,1,0.0
близоруким,1,0.0
уверенно,4,0.0
délicatesse,1,0.0
amélie,3,0.0
звали,10,0.0
ревновать,1,0.0
écrira,1,0.0
donnerai,1,0.0
baiser,1,0.0
пальчик,2,0.0
оглянуться,3,0.0
чудилось,1,0.0
ширмами,1,0.0
темном,5,0.0
дьявол,1,0.0
деликатность,1,0.0
ведете,1,0.0
278,12,0.0
румяным,5,0.0
лечь,7,0.0
ходила,13,0.0
зимнему,2,0.0
трогаясь,3,0.0
воображаемыми,1,0.0
упрекающей,1,0.0
падение,4,0.0
ворчала,3,0.0
нехороша,4,0.0
живее,6,0.0
кофточке,5,0.0
чепце,2,0.0
сонная,1,0.0
спутанною,1,0.0
перебивала,1,0.0
переворачивала,1,0.0
перину,1,0.0
буграми,1,0.0
ямами,1,0.0
твердила,2,0.0
собирающегося,2,0.0
шагал,2,0.0
оскорблен,2,0.0
оскорбление,5,0.0
больное,3,0.0
передумает,1,0.0
раздражал,1,0.0
встречный,1,0.0
верху,4,0.0
причесывается,1,0.0
виляет,1,0.0
замечу,1,0.0
фр,5,0.0
дурень,1,0.0
бурьенку,1,0.0
заблуждается,2,0.0
ухаживать,4,0.0
раздражит,2,0.0
самолюбие,5,0.0
разлучаться,3,0.0
279,17,0.0
выиграно,10,0.0
успокоился,7,0.0
раздеваться,1,0.0
накрывал,1,0.0
ночною,1,0.0
рубашкой,2,0.0
старческое,2,0.0
обросшее,3,0.0
расстраивать,1,0.0
покрыта,2,0.0
сердитый,4,0.0
рубашки,10,0.0
легли,3,0.0
направление,19,0.0
потушили,3,0.0
всунув,2,0.0
туфли,4,0.0
халат,8,0.0
дивану,2,0.0
романа,39,0.01
появления,4,0.0
искали,6,0.0
увидаться,2,0.0
обычный,2,0.0
сошлась,4,0.0
зимнем,2,0.0
трепетом,3,0.0
совершится,5,0.0
горячею,1,0.0
водой,11,0.0
старателен,1,0.0
сухие,4,0.0
сжимались,1,0.0
арифметической,1,0.0
задачи,2,0.0
отходил,7,0.0
приступил,2,0.0
280,15,0.0
пропозицию,4,0.0
догадались,1,0.0
воспитанника,4,0.0
воспитанником,2,0.0
отнесся,1,0.0
желательно,2,0.0
недоброжелательно,2,0.0
опустила,11,0.0
вашу,14,0.0
приданым,1,0.0
захватит,2,0.0
произведенное,9,0.0
собиралась,5,0.0
выбирать,7,0.0
свободна,4,0.0
обдумай,1,0.0
приди,5,0.0
281,15,0.0
станешь,2,0.0
молиться,16,0.0
пожалуй,2,0.0
молись,2,0.0
намек,3,0.0
ужасен,2,0.0
неправда,20,0.0
положим,10,0.0
слыша,8,0.0
разбудил,8,0.0
француженку,5,0.0
шептал,6,0.0
талии,3,0.0
убежала,5,0.0
посмеяться,6,0.0
странным,12,0.0
сергеич,2,0.0
объятиях,2,0.0
плачущую,1,0.0
гладила,1,0.0
прежним,5,0.0
спокойствием,10,0.0
лучистостью,1,0.0
сожалением,5,0.0
личико,2,0.0
perdue,1,0.0
méprisez,1,0.0
comprendrez,1,0.0
постараюсь,3,0.0
счастья,23,0.0
282,11,0.0
égarement,1,0.0
загнув,2,0.0
расчувствованный,1,0.0
донельзя,1,0.0
сожалея,5,0.0
чувствительностью,1,0.0
умиления,11,0.0
щепоть,2,0.0
mains,2,0.0
décidez,1,0.0
aimée,1,0.0
действительная,2,0.0
слеза,1,0.0
удерживаю,2,0.0
умоляющее,1,0.0
пригнул,4,0.0
пригнув,5,0.0
поморщилась,2,0.0
moment,8,0.0
oubliеrаі,1,0.0
презираете,4,0.0
чистая,5,0.0
поймете,2,0.0
увлечения,6,0.0
страсти,14,0.0
решите,1,0.0
нежная,10,0.0
283,21,0.0
donnerez,1,0.0
espérance,2,0.0
toucher,1,0.0
généreux,1,0.0
avenir,1,0.0
счастьем,9,0.0
самопожертвования,5,0.0
раскаивается,1,0.0
попрошу,4,0.0
одинокая,1,0.0
ростовы,36,0.01
николушке,11,0.0
адресе,1,0.0
замеченным,1,0.0
заперся,1,0.0
получении,4,0.0
застала,4,0.0
рыдающим,2,0.0
смеющимся,2,0.0
поправившиеся,1,0.0
готовностью,2,0.0
произнесла,2,0.0
сказку,2,0.0
добрейшая,1,0.0
малую,5,0.0
великодушное,1,0.0
велико,3,0.0
284,13,0.0
зарыдал,7,0.0
графинюшке,2,0.0
подсела,2,0.0
отерла,3,0.0
закапанного,1,0.0
прочла,6,0.0
успокоила,1,0.0
решила,7,0.0
приготовит,1,0.0
объявит,2,0.0
слухах,2,0.0
получено,8,0.0
получится,1,0.0
намеках,2,0.0
тревожно,5,0.0
взглядывать,1,0.0
незаметным,3,0.0
сводила,4,0.0
одаренная,1,0.0
способностью,6,0.0
оттенки,2,0.0
интонаций,2,0.0
насторожила,1,0.0
уши,16,0.0
касающееся,2,0.0
приготавливает,1,0.0
смелость,4,0.0
чувствительна,4,0.0
касалось,11,0.0
ела,8,0.0
вертелась,4,0.0
стуле,8,0.0
замечаний,4,0.0
разбега,2,0.0
тетенька,2,0.0
персик,1,0.0
отстану,2,0.0
fine,2,0.0
mouche,1,0.0
николиньки,2,0.0
утвердительный,1,0.0
осторожнее,6,0.0
поразить,2,0.0
плутовка,2,0.0
285,9,0.0
расскажете,2,0.0
коротких,5,0.0
рассказала,10,0.0
благородное,3,0.0
крестясь,10,0.0
соне,45,0.01
выговорила,1,0.0
ране,6,0.0
горестную,1,0.0
немножко,9,0.0
плаксы,1,0.0
нюни,1,0.0
обманула,2,0.0
николушки,8,0.0
мерзкие,2,0.0
побил,5,0.0
кучу,13,0.0
молчи,3,0.0
дуры,1,0.0
пустяков,1,0.0
плачут,4,0.0
старательным,2,0.0
николиньку,8,0.0
286,9,0.0
закрою,1,0.0
подругу,8,0.0
недостойною,2,0.0
намерена,2,0.0
перестану,2,0.0
любопытными,4,0.0
подобного,13,0.0
напишешь,2,0.0
мучивший,4,0.0
обязательстве,1,0.0
напишу,6,0.0
обиженный,1,0.0
очками,6,0.0
тезку,1,0.0
певца,1,0.0
итальянце,1,0.0
наташином,2,0.0
учителе,1,0.0
пенья,3,0.0
девятилетний,1,0.0
бригадир,1,0.0
намеками,1,0.0
уйдя,1,0.0
спускала,2,0.0
287,11,0.0
миниатюрного,1,0.0
портрета,7,0.0
вделанного,1,0.0
навертывались,1,0.0
входите,1,0.0
приложил,7,0.0
замку,1,0.0
равнодушных,3,0.0
говорившей,1,0.0
длинную,3,0.0
вскрик,1,0.0
радостными,8,0.0
отворила,9,0.0
гордое,2,0.0
оператора,1,0.0
окончившего,1,0.0
трудную,7,0.0
ампутацию,1,0.0
вводящего,1,0.0
публику,4,0.0
искусство,8,0.0
прижимала,2,0.0
протянула,5,0.0
прижать,3,0.0
губам,4,0.0
оттолкнула,3,0.0
кратко,7,0.0
производство,3,0.0
целует,3,0.0
papa,2,0.0
благословения,2,0.0
петю,30,0.01
шелингу,1,0.0
шосс,2,0.0
няне,4,0.0
дорогую,1,0.0
вспоминает,5,0.0
выдержать,4,0.0
обратившиеся,1,0.0
разбежалась,2,0.0
закружилась,3,0.0
раздув,1,0.0
баллоном,1,0.0
плачете,1,0.0
288,14,0.0
прочитано,1,0.0
сотни,20,0.0
считались,2,0.0
достойными,2,0.0
няни,7,0.0
митинька,11,0.0
перечитывала,1,0.0
письму,5,0.0
крошечными,2,0.0
членами,2,0.0
ссорилась,1,0.0
баловником,1,0.0
выучился,3,0.0
груша,1,0.0
баба,16,0.0
среде,5,0.0
мужское,3,0.0
всемирный,2,0.0
вековой,1,0.0
опыт,6,0.0
указывающий,1,0.0
колыбели,1,0.0
мужами,1,0.0
существовал,5,0.0
возмужание,1,0.0
поре,2,0.0
возмужания,1,0.0
возмужавших,1,0.0
верилось,2,0.0
жило,4,0.0
сердцем,11,0.0
закричало,2,0.0
сосать,1,0.0
храбрым,2,0.0
сыновей,6,0.0
штиль,1,0.0
описывает,3,0.0
описательную,1,0.0
денисове,3,0.0
храбрее,5,0.0
страданиях,7,0.0
готовились,4,0.0
писались,3,0.0
брульоны,1,0.0
переписывались,1,0.0
набело,1,0.0
заботливостью,2,0.0
вещицы,1,0.0
обзаведения,1,0.0
произведенного,3,0.0
практическая,1,0.0
сумела,2,0.0
протекцию,1,0.0
переписки,2,0.0
посылать,6,0.0
289,6,0.0
великому,6,0.0
константину,1,0.0
павловичу,2,0.0
командовал,47,0.01
определительный,1,0.0
адрес,2,0.0
командовавшего,1,0.0
поблизости,1,0.0
отослать,3,0.0
пети,32,0.01
6000,2,0.0
обмундировку,1,0.0
посылал,7,0.0
кутузовская,2,0.0
боевая,2,0.0
стоявшая,6,0.0
лагерем,6,0.0
следующему,2,0.0
дню,2,0.0
императоров,16,0.0
подошедшая,1,0.0
ночевала,1,0.0
ти,79,0.01
вступила,8,0.0
ольмюцкое,1,0.0
извещавшую,1,0.0
ночует,2,0.0
ольмюцем,1,0.0
снабженные,1,0.0
маркитанты,2,0.0
жиды,1,0.0
соблазны,1,0.0
пиры,1,0.0
пирами,1,0.0
празднования,1,0.0
полученных,2,0.0
прибывшей,1,0.0
каролине,1,0.0
венгерке,1,0.0
открывшей,1,0.0
прислугой,2,0.0
отпраздновал,1,0.0
вышедшее,4,0.0
корнеты,1,0.0
купил,11,0.0
товарищам,10,0.0
маркитантам,1,0.0
товарищем,13,0.0
пообедал,1,0.0
выпил,19,0.0
отыскать,5,0.0
обмундироваться,1,0.0
затасканная,1,0.0
юнкерская,1,0.0
куртка,1,0.0
солдатским,4,0.0
крестом,7,0.0
подбитые,1,0.0
затертой,1,0.0
кожей,1,0.0
темляком,1,0.0
сабля,7,0.0
донская,1,0.0
измятая,1,0.0
290,17,0.0
ухарски,1,0.0
лагерю,3,0.0
измайловского,1,0.0
поразит,1,0.0
гвардейцев,3,0.0
обстреленным,1,0.0
боевым,1,0.0
гуляньи,1,0.0
дисциплиной,1,0.0
переходы,4,0.0
малые,7,0.0
везли,7,0.0
подводах,4,0.0
австрийское,2,0.0
готовило,1,0.0
обеды,11,0.0
вступали,4,0.0
городов,5,0.0
музыкой,3,0.0
гордились,3,0.0
гвардейцы,2,0.0
исполнительностью,1,0.0
аккуратностью,5,0.0
заслужить,4,0.0
экономические,2,0.0
полезными,3,0.0
рекомендательное,3,0.0
болконским,6,0.0
аккуратно,8,0.0
отдохнув,1,0.0
последнего,26,0.0
дневного,1,0.0
чистой,9,0.0
отведенной,2,0.0
круглым,6,0.0
шахматы,5,0.0
курящуюся,1,0.0
пирамидкой,1,0.0
уставлял,1,0.0
шашки,1,0.0
партнера,2,0.0
игре,12,0.0
выйдете,1,0.0
пешки,3,0.0
петизанфан,1,0.0
але,1,0.0
куше,1,0.0
дормир,1,0.0
няньки,4,0.0
смеивались,1,0.0
батюшки,12,0.0
падавшие,1,0.0
291,10,0.0
отсторонился,1,0.0
битых,2,0.0
выражают,4,0.0
старшие,4,0.0
ущипнуть,1,0.0
толкнуть,1,0.0
поцеловаться,2,0.0
друге,4,0.0
обществ,2,0.0
переменились,3,0.0
происшедшие,1,0.0
полотеры,1,0.0
проклятые,5,0.0
свеженькие,1,0.0
гулянья,2,0.0
грешные,1,0.0
армейщина,1,0.0
баритонными,1,0.0
армейскими,1,0.0
ухватками,1,0.0
забрызганные,1,0.0
хозяйка,11,0.0
кричишь,2,0.0
напугаешь,1,0.0
кутузовского,2,0.0
доставит,4,0.0
обстрелян,1,0.0
солдатскому,1,0.0
георгиевскому,1,0.0
кресту,1,0.0
висевшему,1,0.0
снурках,1,0.0
подвязанную,1,0.0
цесаревич,7,0.0
приемы,9,0.0
292,13,0.0
кутежах,2,0.0
боевой,6,0.0
приятности,1,0.0
выгодах,3,0.0
высокопоставленных,2,0.0
подушек,1,0.0
бросив,6,0.0
строк,4,0.0
прислали,4,0.0
вдавившийся,1,0.0
жалованьем,1,0.0
пробиваемся,1,0.0
встретитесь,1,0.0
расспросить,4,0.0
уйдите,5,0.0
грубость,3,0.0
знакомому,4,0.0
горловым,1,0.0
хозяевам,1,0.0
пойдите,2,0.0
чистейший,1,0.0
пятнушка,1,0.0
сюртучок,3,0.0
взбил,1,0.0
височки,2,0.0
павлович,7,0.0
замечен,1,0.0
скотина,7,0.0
свинья,5,0.0
напугал,3,0.0
гаврилу,1,0.0
ладно,4,0.0
хватим,1,0.0
293,8,0.0
письмах,5,0.0
вложено,1,0.0
совету,12,0.0
посылала,3,0.0
снести,2,0.0
воспользоваться,14,0.0
надпись,2,0.0
нужное,8,0.0
лакейская,1,0.0
мечтатель,1,0.0
попасть,9,0.0
пойдя,1,0.0
коль,3,0.0
гаврило,4,0.0
карлычем,1,0.0
немчура,1,0.0
презрительною,5,0.0
чествовали,1,0.0
вспыльчивости,6,0.0
294,10,0.0
анекдотов,2,0.0
галиции,1,0.0
гневался,1,0.0
разгневанный,1,0.0
арнауты,3,0.0
поговорка,2,0.0
цесаревича,2,0.0
гневе,3,0.0
потребовал,5,0.0
поверите,3,0.0
хвалясь,1,0.0
приказы,9,0.0
наизусть,3,0.0
устав,4,0.0
отче,1,0.0
небесех,1,0.0
упущений,1,0.0
совесть,5,0.0
спокойна,9,0.0
изобразить,1,0.0
пушил,4,0.0
сибирь,6,0.0
проницательно,1,0.0
молчу,3,0.0
немой,1,0.0
закуривая,2,0.0
колечки,1,0.0
сбирался,5,0.0
отклонил,1,0.0
рану,5,0.0
шенграбенское,2,0.0
участвовавшие,4,0.0
слыхали,1,0.0
рассказчиков,1,0.0
правдивый,1,0.0
неправды,3,0.0
слушателям,3,0.0
рассказы,23,0.0
атаках,1,0.0
составили,2,0.0
295,16,0.0
определенное,5,0.0
поверили,5,0.0
случается,3,0.0
рассказчиками,1,0.0
кавалерийских,4,0.0
атак,1,0.0
свихнул,1,0.0
способны,3,0.0
огне,9,0.0
помня,6,0.0
бурею,2,0.0
налетал,1,0.0
врубался,1,0.0
рубил,3,0.0
отведала,1,0.0
мяса,8,0.0
падал,9,0.0
изнеможении,1,0.0
подобное,22,0.0
испытываешь,1,0.0
любивший,5,0.0
покровительственные,1,0.0
обращались,14,0.0
протекцией,1,0.0
расположенный,2,0.0
понравиться,5,0.0
присланный,3,0.0
цесаревичу,1,0.0
застать,3,0.0
рассказывающего,1,0.0
похождения,3,0.0
армейского,2,0.0
сорт,1,0.0
вспыхнул,7,0.0
неприятный,3,0.0
насмешливый,1,0.0
презрение,13,0.0
армейской,1,0.0
точки,20,0.0
адъютантикам,1,0.0
причислялся,1,0.0
сконфуженным,2,0.0
нескромности,1,0.0
предположениях,4,0.0
296,19,0.0
учтивостию,2,0.0
выдавать,3,0.0
удвоенное,1,0.0
фуражное,1,0.0
армейским,2,0.0
командирам,1,0.0
распоряжениях,4,0.0
приходите,3,0.0
оглянув,4,0.0
непреодолимого,3,0.0
конфуза,1,0.0
переходящего,2,0.0
удостоивал,2,0.0
озлоблением,5,0.0
рассказов,8,0.0
бешеными,1,0.0
вес,3,0.0
молодчиков,1,0.0
получают,3,0.0
предполагаете,1,0.0
принадлежу,3,0.0
спокойствию,4,0.0
соединилось,5,0.0
властию,2,0.0
согласиться,15,0.0
достаточного,1,0.0
297,17,0.0
выбраны,3,0.0
серьезной,2,0.0
дуэли,18,0.0
приятель,7,0.0
фамилию,6,0.0
последствий,2,0.0
пятницу,3,0.0
обоим,5,0.0
сердит,3,0.0
ломающегося,1,0.0
мучил,7,0.0
испуг,6,0.0
гордого,2,0.0
человечка,1,0.0
пистолетом,6,0.0
ненавидимого,1,0.0
австрийских,3,0.0
свежих,5,0.0
наследником,1,0.0
цесаревичем,1,0.0
эрцгерцогом,1,0.0
союзной,3,0.0
тысячной,3,0.0
двигаться,11,0.0
щегольски,1,0.0
вычищенные,3,0.0
убранные,1,0.0
выстраиваясь,1,0.0
крепостью,1,0.0
развевавшимися,1,0.0
знаменами,3,0.0
останавливались,4,0.0
заворачивались,1,0.0
строились,4,0.0
интервалах,1,0.0
мундирах,23,0.0
мерным,7,0.0
топотом,5,0.0
звучала,1,0.0
нарядная,1,0.0
шитых,1,0.0
расшитыми,1,0.0
музыкантами,2,0.0
вороных,3,0.0
рыжих,3,0.0
298,31,0.01
лошадях,15,0.0
растягиваясь,1,0.0
медным,1,0.0
подрагивающих,1,0.0
лафетах,1,0.0
вычищенных,1,0.0
пальников,1,0.0
ползла,1,0.0
кавалерией,7,0.0
расставлялась,1,0.0
назначенных,5,0.0
полной,18,0.0
перетянутыми,1,0.0
толстыми,10,0.0
талиями,1,0.0
красневшими,1,0.0
подпертыми,1,0.0
воротниками,1,0.0
шеями,3,0.0
шарфах,1,0.0
орденах,7,0.0
припомаженные,1,0.0
расфранченные,1,0.0
свежим,4,0.0
вымытым,1,0.0
выбритым,1,0.0
блеска,3,0.0
вычищенною,1,0.0
аммуницией,1,0.0
выхоленная,1,0.0
атлас,1,0.0
светилась,4,0.0
шерсть,2,0.0
волосок,3,0.0
волоску,1,0.0
примоченная,1,0.0
гривка,1,0.0
совершается,16,0.0
нешуточное,1,0.0
торжественное,6,0.0
песчинкой,1,0.0
могущество,2,0.0
целого,9,0.0
